date,TSLA
2010-06-30,-0.002511488739401102
2010-07-01,-0.0784725472331047
2010-07-02,-0.12568299472332
2010-07-06,-0.1609375029802322
2010-07-07,-0.01924273185431957
2010-07-08,0.10506322234869
2010-07-09,-0.003436395665630698
2010-07-12,-0.020114965736866
2010-07-13,0.06392963230609894
2010-07-14,0.0937155932188034
2010-07-15,0.002520122798159719
2010-07-16,0.03770739212632179
2010-07-19,0.06153103336691856
2010-07-20,-0.0734824538230896
2010-07-21,-0.003940883092582226
2010-07-22,0.03857570141553879
2010-07-23,0.0138095673173666
2010-07-26,-0.01596994511783123
2010-07-27,-0.01909315027296543
2010-07-28,0.008272510021924973
2010-07-29,-0.01785709150135517
2010-07-30,-0.0201474130153656
2010-08-02,0.04914741963148117
2010-08-03,0.04923521354794502
2010-08-04,-0.03143510222434998
2010-08-05,-0.03809969127178192
2010-08-06,-0.04205381870269775
2010-08-09,0.0005104761803522706
2010-08-10,-0.02908161655068398
2010-08-11,-0.05937997996807098
2010-08-12,-0.01675973460078239
2010-08-13,0.0409090518951416
2010-08-16,0.02510922402143478
2010-08-17,0.0197017528116703
2010-08-18,-0.01984329894185066
2010-08-19,0.001065554446540773
2010-08-20,0.01649810746312141
2010-08-23,0.05392663553357124
2010-08-24,-0.04619962349534035
2010-08-25,0.03645827248692513
2010-08-26,-0.007537669502198696
2010-08-27,-0.002531606936827302
2010-08-30,0.008629444986581802
2010-08-31,-0.01962764374911785
2010-09-01,0.04979472607374191
2010-09-02,0.02982878684997559
2010-09-03,-0.0004748446808662266
2010-09-07,-0.02422794885933399
2010-09-08,0.01752671226859093
2010-09-09,-0.009090934880077839
2010-09-10,-0.02607431262731552
2010-09-13,0.0272681824862957
2010-09-14,0.01930509321391582
2010-09-15,0.04071963578462601
2010-09-16,-0.04731569811701775
2010-09-17,-0.03390644490718842
2010-09-20,0.04078105837106705
2010-09-21,-0.01353596989065409
2010-09-22,-0.04333170875906944
2010-09-23,-0.01560147758573294
2010-09-24,0.02760740928351879
2010-09-27,0.02139304950833321
2010-09-28,0.04237695410847664
2010-09-29,0.02710280008614063
2010-09-30,-0.0716560035943985
2010-10-01,0.009556465782225132
2010-10-04,0.01893200911581516
2010-10-05,0.006193476263433695
2010-10-06,-0.03125008195638657
2010-10-07,-0.001466216053813696
2010-10-08,0.0
2010-10-11,-0.00930007454007864
2010-10-12,0.0
2010-10-13,0.01482219155877829
2010-10-14,0.01022390834987164
2010-10-15,-0.01012043748050928
2010-10-18,-0.01509256847202778
2010-10-19,-0.00889769196510315
2010-10-20,0.02992520667612553
2010-10-21,0.004842633381485939
2010-10-22,-0.001445816247723997
2010-10-25,0.006274182815104723
2010-10-26,0.02446044236421585
2010-10-27,-0.01685396023094654
2010-10-28,0.009047644212841988
2010-10-29,0.03067482821643353
2010-11-01,-0.01968865841627121
2010-11-02,-0.00747313629835844
2010-11-03,0.0244706105440855
2010-11-04,0.1437757909297943
2010-11-05,-0.01847385987639427
2010-11-08,0.02209488488733768
2010-11-09,-0.01401122473180294
2010-11-10,0.1920422911643982
2010-11-11,-0.0451294519007206
2010-11-12,0.06438381969928741
2010-11-15,0.03217155113816261
2010-11-16,-0.03668828681111336
2010-11-17,-0.006066744215786457
2010-11-18,0.01356390677392483
2010-11-19,0.03680161759257317
2010-11-22,0.07776708155870438
2010-11-23,0.03502988442778587
2010-11-24,0.02603417821228504
2010-11-26,-0.004228968638926744
2010-11-29,-0.02802938409149647
2010-11-30,0.0291290394961834
2010-12-01,-0.02773855999112129
2010-12-02,-0.05822416394948959
2010-12-03,-0.0265841968357563
2010-12-06,-0.03747222200036049
2010-12-07,0.04124051705002785
2010-12-08,0.02566538192331791
2010-12-09,-0.009885687381029129
2010-12-10,-0.01653662323951721
2010-12-13,-0.03077415004372597
2010-12-14,-0.06612106412649155
2010-12-15,0.03750437125563622
2010-12-16,0.04087834805250168
2010-12-17,0.01785138435661793
2010-12-20,0.01084184180945158
2010-12-21,0.01766553707420826
2010-12-22,0.01146939769387245
2010-12-23,-0.07784250378608704
2010-12-27,-0.1509139388799667
2010-12-28,0.03369995206594467
2010-12-29,0.04998105764389038
2010-12-30,-0.04435627534985542
2010-12-31,0.004905628506094217
2011-01-03,-0.0003754533245228231
2011-01-04,0.001878258306533098
2011-01-05,0.005999244283884764
2011-01-06,0.03913526982069016
2011-01-07,0.01291250437498093
2011-01-10,0.007436295971274376
2011-01-11,-0.05237264186143875
2011-01-12,0.0
2011-01-13,-0.02744806371629238
2011-01-14,-0.01792522147297859
2011-01-18,-0.004271868150681257
2011-01-19,-0.06279246509075165
2011-01-20,-0.05867664515972137
2011-01-21,0.0185676421970129
2011-01-24,0.06293397396802902
2011-01-25,0.007758290506899357
2011-01-26,0.002836292376741767
2011-01-27,0.00686868978664279
2011-01-28,-0.03651684895157814
2011-01-31,0.003748444374650717
2011-02-01,-0.007883839309215546
2011-02-02,0.001254733884707093
2011-02-03,-0.01294909603893757
2011-02-04,-0.007194248028099537
2011-02-07,-0.01662401482462883
2011-02-08,0.06155180186033249
2011-02-09,-0.05226625874638557
2011-02-10,0.0002154704125132412
2011-02-11,0.001507639302872121
2011-02-14,-0.00731183122843504
2011-02-15,-0.01039860397577286
2011-02-16,0.08274953812360764
2011-02-17,-0.04569345712661743
2011-02-18,-0.01779661327600479
2011-02-22,-0.05651421099901199
2011-02-23,-0.001829031272791326
2011-02-24,0.03206599876284599
2011-02-25,0.0479360818862915
2011-02-28,0.01185932941734791
2011-03-01,0.002092973794788122
2011-03-02,0.00334168435074389
